iata_code,name,municipality,airport_type,scheduled_service
AGR,Agra Airport / Agra Air Force Station,Agra,medium_airport,yes
AGX,Agatti Airport,Agatti,medium_airport,yes
AHA,Maa Mahamaya Airport,Ambikapur,medium_airport,yes
AIP,Adampur Airport,Adampur,small_airport,yes
AJL,Lengpui Airport,Aizawl (Lengpui),medium_airport,yes
AKD,Akola Airport,Akola,medium_airport,no
AMD,Sardar Vallabh Patel International Airport,Ahmedabad,large_airport,yes
ATQ,Sri Guru Ram Das Ji International Airport,Amritsar,large_airport,yes
AYJ,Maharshi Valmiki International Airport,Faizabad,medium_airport,yes
AZH,Azamgarh Airport,Azamgarh,small_airport,no
BBI,Biju Patnaik International Airport,Bhubaneswar,large_airport,yes
BDQ,Vadodara International Airport,Vadodara,large_airport,yes
BEK,Bareilly Air Force Station,Bareilly,medium_airport,yes
BEP,Bellary Airport,Bellary,medium_airport,no
BHJ,Bhuj Airport,Bhuj,medium_airport,yes
BHO,Raja Bhoj International Airport,Bhopal,large_airport,yes
BHU,Bhavnagar Airport,Bhavnagar,medium_airport,yes
BKB,Nal Airport,Bikaner,medium_airport,no
BLR,Kempegowda International Airport Bengaluru,Bengaluru,large_airport,yes
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,large_airport,yes
BPM,Begumpet Airport,Hyderabad,medium_airport,no
BUP,Bhatinda Air Force Station,,medium_airport,no
CBD,Car Nicobar Air Force Base,IAF Camp,medium_airport,no
CCJ,Calicut International Airport,Calicut,large_airport,yes
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,large_airport,yes
CDP,Kadapa Airport,Kadapa,medium_airport,yes
CJB,Coimbatore International Airport,Coimbatore,large_airport,yes
CNN,Kannur International Airport,Kannur,large_airport,yes
COH,Cooch Behar Airport,Cooch Behar,small_airport,no
COK,Cochin International Airport,Kochi,large_airport,yes
CWK,Chitrakoot Airport,Chitrakoot,small_airport,no
DBD,Dhanbad Airport,,medium_airport,no
DBR,Darbhanga Airport,Darbhanga,medium_airport,yes
DED,Dehradun Jolly Grant Airport,Dehradun (Jauligrant),medium_airport,yes
DEL,Indira Gandhi International Airport,New Delhi,large_airport,yes
DEP,Daporijo Airport,Daporijo,small_airport,no
DGH,Deoghar Airport,Deoghar,small_airport,yes
DHM,Kangra Airport,Kangra,medium_airport,yes
DIB,Dibrugarh Airport,Dibrugarh,medium_airport,yes
DIU,Diu Airport,Diu,small_airport,yes
DMU,Dimapur Airport,Dimapur,medium_airport,yes
DXN,Noida International Airport,Gautam Buddha Nagar,large_airport,no
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,large_airport,yes
GAY,Gaya Airport,Gaya,medium_airport,yes
GBI,Kalaburagi Airport,Kalaburagi,small_airport,yes
GDB,Gondia Airport,Gondia,medium_airport,yes
GOI,Goa Dabolim International Airport,Vasco da Gama,large_airport,yes
GOP,Gorakhpur Airport,Gorakhpur,medium_airport,yes
GOX,Manohar International Airport,Mopa,large_airport,yes
GUX,Guna Airport,,small_airport,no
GWL,Gwalior Airport,Gwalior,medium_airport,yes
HBX,Hubballi Airport,Hubballi,medium_airport,yes
HDO,Hindon Airport / Hindon Air Force Station,Ghaziabad,small_airport,yes
HGI,Itanagar Donyi Polo Hollongi Airport,Hollongi,medium_airport,yes
HJR,Khajuraho Airport,Khajuraho,medium_airport,yes
HRH,Aligarh Airport,Aligarh,small_airport,yes
HSR,Rajkot International Airport,Rajkot,large_airport,yes
HSS,Maharaja Agrasen International Airport,Hisar,large_airport,yes
HWR,Halwara International Airport,Halwara,large_airport,yes
HYD,Rajiv Gandhi International Airport,Hyderabad,large_airport,yes
IDR,Devi Ahilya Bai Holkar International Airport,Indore,large_airport,yes
IMF,Bir Tikendrajit International Airport,Imphal,large_airport,yes
ISK,Nashik International Airport,Nashik,large_airport,yes
IXA,Agartala - Maharaja Bir Bikram Airport,Agartala,medium_airport,yes
IXB,Bagdogra Airport,Siliguri,large_airport,yes
IXC,Shaheed Bhagat Singh International Airport,Chandigarh,large_airport,yes
IXD,Prayagraj Airport,Allahabad,medium_airport,yes
IXE,Mangaluru International Airport,Mangaluru,large_airport,yes
IXG,Belagavi Airport,Belgaum,medium_airport,yes
IXH,Kailashahar Airport,Kailashahar,medium_airport,no
IXI,Lilabari North Lakhimpur Airport,Lilabari,medium_airport,yes
IXJ,Jammu Airport,Jammu,medium_airport,yes
IXK,Keshod Airport,Keshod,medium_airport,yes
IXL,Leh Kushok Bakula Rimpochee Airport,Leh,medium_airport,yes
IXM,Madurai Airport,Madurai,medium_airport,yes
IXN,Khowai Airport,Khowai,small_airport,no
IXP,Pathankot Airport,Pathankot,medium_airport,yes
IXQ,Kamalpur Airport,Manik Bhandar,small_airport,no
